CensusPlaceCode,ST,CensusPlaceName,SUMLEV,STATE,COUNTY,PLACE,COUSUB,CONCIT,PRIMGEO_FLAG,FUNCSTAT,ESTIMATESBASE2020,POPESTIMATE2020,POPESTIMATE2021,POPESTIMATE2022,POPESTIMATE2023,POPESTIMATE2024,POPESTIMATE2025
1900000000,IA,Iowa,040,19,000,00000,00000,00000,0,A,3190582,3191081,3199037,3201890,3214739,3230454,3238387
1900100000,IA,Adair County,050,19,001,00000,00000,00000,0,A,7502,7498,7529,7466,7418,7465,7403
1900100370,IA,Adair city (pt.),157,19,001,00370,00000,00000,1,A,776,775,776,773,765,780,758
1900108425,IA,Bridgewater city,157,19,001,08425,00000,00000,1,A,146,146,146,145,144,145,141
1900111395,IA,Casey city (pt.),157,19,001,11395,00000,00000,1,A,16,16,16,16,16,16,16
1900128290,IA,Fontanelle city,157,19,001,28290,00000,00000,1,A,689,689,691,682,677,687,673
1900132790,IA,Greenfield city,157,19,001,32790,00000,00000,1,A,2067,2065,2073,2057,2048,1993,2070
1900159565,IA,Orient city,157,19,001,59565,00000,00000,1,A,364,364,365,359,357,364,352
1900175990,IA,Stuart city (pt.),157,19,001,75990,00000,00000,1,A,721,722,733,736,735,760,747
1900199990,IA,Balance of Adair County,157,19,001,99990,00000,00000,1,F,2723,2721,2729,2698,2676,2720,2646
1900300000,IA,Adams County,050,19,003,00000,00000,00000,0,A,3708,3710,3639,3600,3559,3600,3617
1900310585,IA,Carbon city,157,19,003,10585,00000,00000,1,A,33,33,32,32,33,33,33
1900316500,IA,Corning city,157,19,003,16500,00000,00000,1,A,1563,1564,1530,1511,1491,1506,1511
1900344490,IA,Lenox city (pt.),157,19,003,44490,00000,00000,1,A,0,0,0,0,0,0,0
1900356865,IA,Nodaway city,157,19,003,56865,00000,00000,1,A,73,73,71,70,70,71,71
1900364560,IA,Prescott city,157,19,003,64560,00000,00000,1,A,191,191,187,185,182,185,186
1900399990,IA,Balance of Adams County,157,19,003,99990,00000,00000,1,F,1848,1849,1819,1802,1783,1805,1816
1900500000,IA,Allamakee County,050,19,005,00000,00000,00000,0,A,14062,14072,13977,14095,14163,14206,14238
1900534590,IA,Harpers Ferry city,157,19,005,34590,00000,00000,1,A,260,261,261,265,271,273,274
1900543275,IA,Lansing city,157,19,005,43275,00000,00000,1,A,960,961,957,961,958,959,957
1900555785,IA,New Albin city,157,19,005,55785,00000,00000,1,A,434,434,427,428,430,433,428
1900564290,IA,Postville city (pt.),157,19,005,64290,00000,00000,1,A,2237,2236,2210,2205,2167,2157,2138
1900582470,IA,Waterville city,157,19,005,82470,00000,00000,1,A,108,108,107,109,111,110,112
1900582740,IA,Waukon city,157,19,005,82740,00000,00000,1,A,3821,3820,3781,3787,3801,3806,3849
1900599990,IA,Balance of Allamakee County,157,19,005,99990,00000,00000,1,F,6242,6252,6234,6340,6425,6468,6480
1900700000,IA,Appanoose County,050,19,007,00000,00000,00000,0,A,12312,12283,12267,12134,12122,12102,12077
1900712315,IA,Centerville city,157,19,007,12315,00000,00000,1,A,5420,5407,5388,5357,5347,5341,5327
1900713395,IA,Cincinnati city,157,19,007,13395,00000,00000,1,A,288,287,288,283,283,282,282
1900726310,IA,Exline city,157,19,007,26310,00000,00000,1,A,159,159,158,156,156,156,154
1900753985,IA,Moravia city (pt.),157,19,007,53985,00000,00000,1,A,637,635,636,627,627,624,623
1900754390,IA,Moulton city,157,19,007,54390,00000,00000,1,A,608,606,607,599,597,596,595
1900755200,IA,Mystic city,157,19,007,55200,00000,00000,1,A,323,322,321,317,317,316,316
1900757945,IA,Numa city,157,19,007,57945,00000,00000,1,A,72,72,72,71,71,71,71
1900763345,IA,Plano city,157,19,007,63345,00000,00000,1,A,58,58,58,57,57,57,57
1900765730,,Rathbun city,157,19,007,65730,00000,00000,1,A,41,41,41,40,40,40,40
1900779410,,Udell city,157,19,007,79410,00000,00000,1,A,32,32,32,31,31,31,31
1900779680,,Unionville city,157,19,007,79680,00000,00000,1,A,76,76,76,75,74,74,74
1900799990,,Balance of Appanoose County,157,19,007,99990,00000,00000,1,F,4598,4588,4590,4521,4522,4514,4507
1900900000,,Audubon County,050,19,009,00000,00000,00000,0,A,5674,5680,5642,5567,5527,5548,5509
1900903655,,Audubon city,157,19,009,03655,00000,00000,1,A,2059,2060,2042,2014,1999,1999,1989
1900908200,,Brayton city,157,19,009,08200,00000,00000,1,A,143,143,142,140,139,138,136
1900926265,,Exira city,157,19,009,26265,00000,00000,1,A,791,792,784,774,765,772,767
1900932565,,Gray city,157,19,009,32565,00000,00000,1,A,59,59,59,59,59,59,59
1900941295,,Kimballton city,157,19,009,41295,00000,00000,1,A,290,290,288,282,280,281,277
1900999990,,Balance of Audubon County,157,19,009,99990,00000,00000,1,F,2332,2336,2327,2298,2285,2299,2281
1901100000,,Benton County,050,19,011,00000,00000,00000,0,A,25586,25552,25747,25748,25773,25845,26004
1901103475,,Atkins city,157,19,011,03475,00000,00000,1,A,2058,2062,2096,2117,2140,2173,2203
1901105590,,Belle Plaine city,157,19,011,05590,00000,00000,1,A,2330,2325,2337,2335,2335,2338,2346
1901106805,,Blairstown city,157,19,011,06805,00000,00000,1,A,710,709,711,709,708,706,709
1901130000,,Garrison city,157,19,011,30000,00000,00000,1,A,351,350,353,349,349,351,353
1901141115,,Keystone city,157,19,011,41115,00000,00000,1,A,603,602,608,607,619,618,617
1901147505,,Luzerne city,157,19,011,47505,00000,00000,1,A,112,112,113,112,112,112,113
1901154435,,Mount Auburn city,157,19,011,54435,00000,00000,1,A,162,162,163,162,162,160,160
1901156055,,Newhall city,157,19,011,56055,00000,00000,1,A,882,880,884,886,887,892,906
1901157720,,Norway city,157,19,011,57720,00000,00000,1,A,466,465,468,467,466,467,470
1901172480,,Shellsburg city,157,19,011,72480,00000,00000,1,A,962,962,976,979,987,987,997
1901179905,,Urbana city,157,19,011,79905,00000,00000,1,A,1563,1565,1592,1621,1627,1641,1671
1901180400,,Van Horne city,157,19,011,80400,00000,00000,1,A,772,771,773,771,768,768,769
1901181210,,Vinton city,157,19,011,81210,00000,00000,1,A,4934,4925,4955,4950,4949,4971,5004
1901181840,,Walford city (pt.),157,19,011,81840,00000,00000,1,A,958,956,963,957,956,959,962
1901199990,,Balance of Benton County,157,19,011,99990,00000,00000,1,S,8723,8706,8755,8726,8708,8702,8724
1901300000,,Black Hawk County,050,19,013,00000,00000,00000,0,A,131146,131037,130571,129963,130812,131473,131532
1901311755,,Cedar Falls city,157,19,013,11755,00000,00000,1,A,40727,40700,40648,40521,40958,41197,41240
1901322845,,Dunkerton city,157,19,013,22845,00000,00000,1,A,840,840,832,829,834,833,835
1901324870,,Elk Run Heights city,157,19,013,24870,00000,00000,1,A,1069,1067,1063,1055,1055,1056,1053
1901325995,,Evansdale city,157,19,013,25995,00000,00000,1,A,4563,4557,4519,4487,4491,4480,4463
1901330675,,Gilbertville city,157,19,013,30675,00000,00000,1,A,787,785,784,784,788,789,786
1901337470,,Hudson city,157,19,013,37470,00000,00000,1,A,2545,2544,2610,2625,2774,2890,3028
1901339405,,Janesville city (pt.),157,19,013,39405,00000,00000,1,A,113,113,112,113,114,114,113
1901339585,,Jesup city (pt.),157,19,013,39585,00000,00000,1,A,196,196,194,193,197,197,196
1901343365,,La Porte City city,157,19,013,43365,00000,00000,1,A,2283,2278,2259,2252,2257,2246,2238
1901365820,,Raymond city,157,19,013,65820,00000,00000,1,A,761,759,754,747,749,748,748
1901382425,,Waterloo city,157,19,013,82425,00000,00000,1,A,67307,67259,66897,66492,66696,67005,66919
1901399990,,Balance of Black Hawk County,157,19,013,99990,00000,00000,1,S,9955,9939,9899,9865,9899,9918,9913
1901500000,,Boone County,050,19,015,00000,00000,00000,0,A,26715,26705,26776,26574,26581,26727,26799
1901505185,,Beaver city,157,19,015,05185,00000,00000,1,A,48,48,48,47,47,49,49
1901506040,,Berkley city,157,19,015,06040,00000,00000,1,A,22,22,22,22,21,22,21
1901507480,,Boone city,157,19,015,07480,00000,00000,1,A,12450,12447,12475,12361,12388,12450,12471
1901507750,,Boxholm city,157,19,015,07750,00000,00000,1,A,183,183,183,181,178,177,177
1901528920,,Fraser city,157,19,015,28920,00000,00000,1,A,103,103,105,104,105,107,107
1901547280,,Luther city,157,19,015,47280,00000,00000,1,A,149,149,149,147,146,146,146
1901548450,,Madrid city,157,19,015,48450,00000,00000,1,A,2803,2801,2824,2813,2803,2823,2820
1901558665,,Ogden city,157,19,015,58665,00000,00000,1,A,2007,2005,2004,1976,1965,1967,1975
1901562850,,Pilot Mound city,157,19,015,62850,00000,00000,1,A,160,160,158,156,155,155,155
1901572345,,Sheldahl city (pt.),157,19,015,72345,00000,00000,1,A,22,22,22,22,21,24,22
1901573515,,Slater city (pt.),157,19,015,73515,00000,00000,1,A,0,0,0,0,0,0,0
1901586970,,Woodward city (pt.),157,19,015,86970,00000,00000,1,A,342,342,342,342,342,342,342
1901599990,,Balance of Boone County,157,19,015,99990,00000,00000,1,F,8426,8423,8444,8403,8410,8465,8514
1901700000,,Bremer County,050,19,017,00000,00000,00000,0,A,24992,25014,25134,25261,25337,25363,25296
1901720035,,Denver city,157,19,017,20035,00000,00000,1,A,1929,1929,1943,1953,1957,1960,1954
1901729010,,Frederika city,157,19,017,29010,00000,00000,1,A,204,204,206,206,208,208,207
1901739405,,Janesville city (pt.),157,19,017,39405,00000,00000,1,A,925,926,932,938,940,942,939
1901763210,,Plainfield city,157,19,017,63210,00000,00000,1,A,394,394,396,395,395,396,394
1901765910,,Readlyn city,157,19,017,65910,00000,00000,1,A,849,850,854,860,860,861,860
1901776260,,Sumner city (pt.),157,19,017,76260,00000,00000,1,A,2021,2019,2024,2026,2023,2022,2013
1901778915,,Tripoli city,157,19,017,78915,00000,00000,1,A,1191,1192,1198,1202,1209,1209,1208
1901782875,,Waverly city,157,19,017,82875,00000,00000,1,A,10400,10415,10452,10519,10570,10583,10561
1901799990,,Balance of Bremer County,157,19,017,99990,00000,00000,1,F,7079,7085,7129,7162,7175,7182,7160
1901900000,,Buchanan County,050,19,019,00000,00000,00000,0,A,20562,20608,20718,20705,20725,20711,20883
1901903835,,Aurora city,157,19,019,03835,00000,00000,1,A,167,167,168,167,169,166,167
1901908155,,Brandon city,157,19,019,08155,00000,00000,1,A,327,328,328,328,325,323,325
1901926355,,Fairbank city (pt.),157,19,019,26355,00000,00000,1,A,750,751,760,762,769,768,780
1901935580,,Hazleton city,157,19,019,35580,00000,00000,1,A,708,709,713,711,710,706,714
1901938100,,Independence city,157,19,019,38100,00000,00000,1,A,6059,6079,6135,6162,6185,6255,6312
