CensusPlaceCode,ST,STName,County,PlaceNameLong,PlaceNameShort,CensusPlaceName,,,,,,,,,
1900000000,IA,Iowa,All 99,State of Iowa,Iowa,Iowa,,,,,,,,,
1900100000,IA,Iowa,Adair,Adair County,Adair County,Adair County,,,,,,,,,
1900100370,IA,Iowa,Adair,City of Adair - Adair County Portion,Adair [Adair Co],Adair city (pt.),,,,,,,,,
1900108425,IA,Iowa,Adair,City of Bridgewater,Bridgewater,Bridgewater city,,,,,,,,,
1900111395,IA,Iowa,Adair,City of Casey - Adair County Portion,Casey [Adair Co],Casey city (pt.),,,,,,,,,
1900128290,IA,Iowa,Adair,City of Fontanelle,Fontanelle,Fontanelle city,,,,,,,,,
1900132790,IA,Iowa,Adair,City of Greenfield,Greenfield,Greenfield city,,,,,,,,,
1900159565,IA,Iowa,Adair,City of Orient,Orient,Orient city,,,,,,,,,
1900175990,IA,Iowa,Adair,City of Stuart - Adair County Portion,Stuart [Adair Co],Stuart city (pt.),,,,,,,,,
1900199990,IA,Iowa,Adair,Balance of Adair County,Unincorporated Adair County,Balance of Adair County,,,,,,,,,
1900300000,IA,Iowa,Adams,Adams County,Adams County,Adams County,,,,,,,,,
1900310585,IA,Iowa,Adams,City of Carbon,Carbon,Carbon city,,,,,,,,,
1900316500,IA,Iowa,Adams,City of Corning,Corning,Corning city,,,,,,,,,
1900344490,IA,Iowa,Adams,City of Lenox - Adams County Portion,Lenox [Adams Co],Lenox city (pt.),,,,,,,,,
1900356865,IA,Iowa,Adams,City of Nodaway,Nodaway,Nodaway city,,,,,,,,,
1900364560,IA,Iowa,Adams,City of Prescott,Prescott,Prescott city,,,,,,,,,
1900399990,IA,Iowa,Adams,Balance of Adams County,Unincorporated Adams County,Balance of Adams County,,,,,,,,,
1900500000,IA,Iowa,Allamakee,Allamakee County,Allamakee County,Allamakee County,,,,,,,,,
1900534590,IA,Iowa,Allamakee,City of Harpers Ferry,Harpers Ferry,Harpers Ferry city,,,,,,,,,
1900543275,IA,Iowa,Allamakee,City of Lansing,Lansing,Lansing city,,,,,,,,,
1900555785,IA,Iowa,Allamakee,City of New Albin,New Albin,New Albin city,,,,,,,,,
1900564290,IA,Iowa,Allamakee,City of Postville - Allamakee County Portion,Postville [Allamakee Co],Postville city (pt.),,,,,,,,,
1900582470,IA,Iowa,Allamakee,City of Waterville,Waterville,Waterville city,,,,,,,,,
1900582740,IA,Iowa,Allamakee,City of Waukon,Waukon,Waukon city,,,,,,,,,
1900599990,IA,Iowa,Allamakee,Balance of Allamakee County,Unincorporated Allamakee County,Balance of Allamakee County,,,,,,,,,
1900700000,IA,Iowa,Appanoose,Appanoose County,Appanoose County,Appanoose County,,,,,,,,,
1900712315,IA,Iowa,Appanoose,City of Centerville,Centerville,Centerville city,,,,,,,,,
1900713395,IA,Iowa,Appanoose,City of Cincinnati,Cincinnati,Cincinnati city,,,,,,,,,
1900726310,IA,Iowa,Appanoose,City of Exline,Exline,Exline city,,,,,,,,,
1900753985,IA,Iowa,Appanoose,City of Moravia - Appanoose County Portion,Moravia [Appanoose Co],Moravia city (pt.),,,,,,,,,
1900754390,IA,Iowa,Appanoose,City of Moulton,Moulton,Moulton city,,,,,,,,,
1900755200,IA,Iowa,Appanoose,City of Mystic,Mystic,Mystic city,,,,,,,,,
1900757945,IA,Iowa,Appanoose,City of Numa,Numa,Numa city,,,,,,,,,
1900763345,IA,Iowa,Appanoose,City of Plano,Plano,Plano city,,,,,,,,,
1900765730,IA,Iowa,Appanoose,City of Rathbun,Rathbun,Rathbun city,,,,,,,,,
1900779410,IA,Iowa,Appanoose,City of Udell,Udell,Udell city,,,,,,,,,
1900779680,IA,Iowa,Appanoose,City of Unionville,Unionville,Unionville city,,,,,,,,,
1900799990,IA,Iowa,Appanoose,Balance of Appanoose County,Unincorporated Appanoose County,Balance of Appanoose County,,,,,,,,,
1900900000,IA,Iowa,Audubon,Audubon County,Audubon County,Audubon County,,,,,,,,,
1900903655,IA,Iowa,Audubon,City of Audubon,Audubon,Audubon city,,,,,,,,,
1900908200,IA,Iowa,Audubon,City of Brayton,Brayton,Brayton city,,,,,,,,,
1900926265,IA,Iowa,Audubon,City of Exira,Exira,Exira city,,,,,,,,,
1900932565,IA,Iowa,Audubon,City of Gray,Gray,Gray city,,,,,,,,,
1900941295,IA,Iowa,Audubon,City of Kimballton,Kimballton,Kimballton city,,,,,,,,,
1900999990,IA,Iowa,Audubon,Balance of Audubon County,Unincorporated Audubon County,Balance of Audubon County,,,,,,,,,
1901100000,IA,Iowa,Benton,Benton County,Benton County,Benton County,,,,,,,,,
1901103475,IA,Iowa,Benton,City of Atkins,Atkins,Atkins city,,,,,,,,,
1901105590,IA,Iowa,Benton,City of Belle Plaine,Belle Plaine,Belle Plaine city,,,,,,,,,
1901106805,IA,Iowa,Benton,City of Blairstown,Blairstown,Blairstown city,,,,,,,,,
1901130000,IA,Iowa,Benton,City of Garrison,Garrison,Garrison city,,,,,,,,,
1901141115,IA,Iowa,Benton,City of Keystone,Keystone,Keystone city,,,,,,,,,
1901147505,IA,Iowa,Benton,City of Luzerne,Luzerne,Luzerne city,,,,,,,,,
